@timestamp,total_results,ws_call,searchType,searchQuery
2021-04-01T00:01:33.602+00:00,267.0,getArticles,,
2021-04-01T00:01:33.783+00:00,12.0,getArticles,,
2021-04-01T00:01:34.080+00:00,1.0,getArticles,,
2021-04-01T00:01:34.105+00:00,9.0,getArticles,99.0,2034701641
2021-04-01T00:01:34.122+00:00,1.0,getArticles,,
2021-04-01T00:01:34.152+00:00,2.0,getArticles,10.0,26980 01
2021-04-01T00:01:34.170+00:00,6.0,getArticles,,
2021-04-01T00:01:34.691+00:00,0.0,getArticles,,
2021-04-01T00:01:35.019+00:00,573.0,getArticles,,
2021-04-01T00:01:35.065+00:00,3.0,getArticles,,
2021-04-01T00:01:36.107+00:00,2.0,getArticles,10.0,30130 01
2021-04-01T00:01:36.108+00:00,7.0,getArticles,,
2021-04-01T00:01:36.167+00:00,19.0,getArticles,,
2021-04-01T00:01:36.340+00:00,22.0,getArticles,,
2021-04-01T00:01:36.356+00:00,1.0,getArticles,,
2021-04-01T00:01:36.693+00:00,1110.0,getArticles,10.0,
2021-04-01T00:01:36.957+00:00,25407.0,getArticles,,
2021-04-01T00:01:36.990+00:00,191612.0,getArticles,,
2021-04-01T00:01:37.316+00:00,527.0,getArticles,,
2021-04-01T00:01:37.335+00:00,2.0,getArticles,10.0,30141 01
2021-04-01T00:01:37.811+00:00,2.0,getArticles,10.0,JT1770
2021-04-01T00:01:37.844+00:00,95.0,getArticles,,
2021-04-01T00:01:37.854+00:00,3244.0,getArticles,,
2021-04-01T00:01:38.117+00:00,160.0,getArticles,,
2021-04-01T00:01:38.129+00:00,2.0,getArticles,10.0,30155 01
2021-04-01T00:01:38.173+00:00,2.0,getArticles,10.0,30156 01
2021-04-01T00:01:38.242+00:00,527.0,getArticles,,
2021-04-01T00:01:38.259+00:00,2930326.0,getArticles,,
2021-04-01T00:01:38.264+00:00,3.0,getArticles,10.0,30158 01
2021-04-01T00:01:38.302+00:00,2.0,getArticles,10.0,30160 01
2021-04-01T00:01:38.342+00:00,0.0,getArticles,,
2021-04-01T00:01:39.510+00:00,2.0,getArticles,10.0,30175 01
2021-04-01T00:01:39.512+00:00,2.0,getArticles,,
2021-04-01T00:01:39.522+00:00,0.0,getArticles,,32106798896
2021-04-01T00:01:39.641+00:00,2.0,getArticles,10.0,30178 01
2021-04-01T00:01:39.681+00:00,3.0,getArticles,10.0,30179 01
2021-04-01T00:01:40.516+00:00,1.0,getArticles,,
2021-04-01T00:01:40.642+00:00,1.0,getArticles,10.0,30192 01
2021-04-01T00:01:40.889+00:00,1.0,getArticles,10.0,30194 01
2021-04-01T00:01:40.933+00:00,1.0,getArticles,10.0,30195 01
